שם ישוב,סמל ישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אחוזת ברק,1330,AHUZZAT BARAQ,2,23,234,9,,1,2256,2256,2197,,1998,190,,2320072762,129,254,10004394,2018,Ahuzzat Baraq,213
אחיהוד,785,AHIHUD,2,24,246,4,241,1,868,868,859,,1950,310,1,2165275698,20,201,10004315,2018,Ahihud,212
אחיטוב,850,AHITUV,4,41,412,16,141,1,1099,1099,1089,,1951,310,1,1993269934,39,409,15000060,2018,Ahituv,
אחיסמך,804,AHISAMAKH,4,43,432,25,142,1,1374,1374,1372,,1950,310,1,1914164919,58,424,10002261,2018,Ahisamakh,
אחיעזר,797,AHI'EZER,4,43,432,40,133,1,1872,1871,1865,1,1950,310,2,1879365441,40,425,10002261,2018,Ahi'ezer,
אטרש (שבט),965,ATRASH,6,62,623,,,3,,,,,,460,,1940057520,,699,10001937,2018,Atrash,
איבים,338,IBBIM,6,61,614,37,,1,277,277,40,,1991,340,,1629760477,69,651,10001829,2018,Ibbim,620
אייל,716,EYAL,4,42,421,20,141,1,522,522,515,,1949,330,15,1982567982,67,417,10002155,2018,Eyal,
איילת השחר,77,AYYELET HASHAHAR,2,21,211,1,,1,1134,1134,1082,,1918,330,15,2541976987,143,253,10004540,2018,Ayyelet HaShahar,211
אילון,294,ELON,2,24,244,4,,1,1020,1014,987,6,1938,330,15,2206177423,217,201,10004302,2018,Elon,212
אילון תבור*,1716,,2,23,233,9,,,,,,,,520,,2343272675,171,254,10004394,2018,,213
אילות,1126,ELOT,6,62,625,53,,1,317,312,294,5,1962,330,15,1960538819,41,608,10001955,2018,Elot,
אילנייה,49,ILANIYYA,2,22,222,3,,1,490,484,463,6,1902,310,10,2384773998,199,206,10004552,2018,Ilaniyya,214
אילת,2600,ELAT,6,62,625,0,,1,51935,49675,41906,2260,1951,150,,1941738510,-5,602,10001955,2018,Elat,
אירוס,1336,IRUS,4,44,442,27,143,1,622,622,615,,2013,370,,1790064853,29,456,15002488,2018,Irus,
